ad_id,date,reach,impressions,clicks,ctr,cpc,cpm,cost,revenue,view_content,add_to_cart,initiate_checkout,purchase,form_view,lead,engagement,app_install,video_view
AD00001,2024-01-01,1937,2768,31,1.12,0.8,8.92,24.7,0.0,18,5,3,0,2,0,49,0,138
AD00001,2024-01-02,2086,2981,30,1.01,0.95,9.54,28.44,0.0,18,5,3,0,2,0,48,0,149
AD00001,2024-01-03,2056,2938,41,1.4,0.57,7.95,23.35,95.21,24,7,4,1,2,0,65,0,146
AD00001,2024-01-04,1844,2635,28,1.06,0.82,8.76,23.09,0.0,16,4,2,0,1,0,44,0,131
AD00001,2024-01-05,2267,3239,33,1.02,0.95,9.73,31.51,0.0,19,5,3,0,2,0,52,0,161
AD00001,2024-01-06,1635,2337,30,1.28,0.77,9.92,23.19,0.0,18,5,3,0,2,0,48,0,116
AD00001,2024-01-07,2982,4261,48,1.13,0.66,7.41,31.59,59.01,28,8,4,1,3,0,76,0,213
AD00001,2024-01-08,3234,4621,53,1.15,0.59,6.73,31.12,72.41,31,9,5,1,3,0,84,0,231
AD00001,2024-01-09,1726,2466,21,0.85,1.07,9.13,22.52,0.0,12,3,1,0,1,0,33,0,123
AD00001,2024-01-10,1951,2788,26,0.93,0.86,8.0,22.31,0.0,15,4,2,0,1,0,41,0,139
AD00001,2024-01-11,1574,2249,24,1.07,0.93,9.93,22.33,0.0,14,4,2,0,1,0,38,0,112
AD00001,2024-01-12,2956,4224,59,1.4,0.58,8.09,34.19,110.01,35,10,6,1,4,0,94,0,211
AD00001,2024-01-13,1948,2783,27,0.97,0.93,9.05,25.18,0.0,16,4,2,0,1,0,43,0,139
AD00001,2024-01-14,1356,1938,20,1.03,0.87,8.94,17.32,0.0,12,3,1,0,1,0,32,0,96
AD00001,2024-01-15,2786,3980,53,1.33,0.51,6.85,27.26,99.95,31,9,5,1,3,0,84,0,199
AD00001,2024-01-16,1280,1829,22,1.2,0.81,9.75,17.83,0.0,13,3,1,0,1,0,35,0,91
AD00001,2024-01-17,1609,2299,28,1.22,0.7,8.59,19.74,0.0,16,4,2,0,1,0,44,0,114
AD00001,2024-01-18,2454,3506,40,1.14,0.7,8.04,28.18,0.0,24,7,4,0,2,0,64,0,175
AD00001,2024-01-19,3068,4384,58,1.32,0.56,7.4,32.42,98.9,34,10,6,1,4,0,92,0,219
AD00001,2024-01-20,2830,4044,50,1.24,0.58,7.13,28.82,0.0,30,9,5,0,3,0,80,0,202
AD00001,2024-01-21,1402,2004,22,1.1,0.93,10.15,20.35,0.0,13,3,1,0,1,0,35,0,100
AD00001,2024-01-22,1828,2612,25,0.96,1.0,9.53,24.9,0.0,15,4,2,0,1,0,40,0,130
AD00001,2024-01-23,2707,3868,40,1.03,0.69,7.14,27.63,0.0,24,7,4,0,2,0,64,0,193
AD00001,2024-01-24,2693,3848,36,0.94,0.73,6.81,26.19,0.0,21,6,3,0,2,0,57,0,192
AD00001,2024-01-25,1491,2130,27,1.27,0.76,9.61,20.46,0.0,16,4,2,0,1,0,43,0,106
AD00001,2024-01-26,1390,1986,23,1.16,0.83,9.61,19.08,0.0,13,3,1,0,1,0,36,0,99
AD00001,2024-01-27,2088,2983,33,1.11,0.8,8.88,26.49,0.0,19,5,3,0,2,0,52,0,149
AD00001,2024-01-28,2362,3375,42,1.24,0.63,7.86,26.52,67.6,25,7,4,1,2,0,67,0,168
AD00001,2024-01-29,2566,3666,42,1.15,0.61,7.04,25.8,0.0,25,7,4,0,2,0,67,0,183
AD00001,2024-01-30,2025,2894,28,0.97,1.03,10.01,28.97,0.0,16,4,2,0,1,0,44,0,144
AD00001,2024-01-31,2711,3874,43,1.11,0.71,7.86,30.46,0.0,25,7,4,0,3,0,68,0,193
AD00001,2024-02-01,1657,2368,21,0.89,0.92,8.19,19.39,0.0,12,3,1,0,1,0,33,0,118
AD00001,2024-02-02,1925,2751,29,1.05,0.85,8.99,24.73,0.0,17,5,3,0,2,0,46,0,137
AD00001,2024-02-03,1467,2097,22,1.05,0.88,9.28,19.46,0.0,13,3,1,0,1,0,35,0,104
AD00001,2024-02-04,1896,2709,26,0.96,0.86,8.26,22.38,0.0,15,4,2,0,1,0,41,0,135
AD00001,2024-02-05,2798,3998,45,1.13,0.67,7.55,30.2,68.04,27,8,4,1,3,0,72,0,199
AD00001,2024-02-06,2836,4052,46,1.14,0.7,7.92,32.08,70.27,27,8,4,1,3,0,73,0,202
AD00001,2024-02-07,1490,2129,27,1.27,0.8,10.15,21.6,0.0,16,4,2,0,1,0,43,0,106
AD00001,2024-02-08,1409,2014,23,1.14,0.84,9.56,19.26,0.0,13,3,1,0,1,0,36,0,100
AD00001,2024-02-09,1915,2736,29,1.06,0.95,10.12,27.69,0.0,17,5,3,0,2,0,46,0,136
AD00001,2024-02-10,2480,3544,41,1.16,0.72,8.29,29.38,0.0,24,7,4,0,2,0,65,0,177
AD00001,2024-02-11,1652,2360,24,1.02,0.97,9.86,23.27,0.0,14,4,2,0,1,0,38,0,118
AD00001,2024-02-12,1824,2606,27,1.04,0.89,9.18,23.92,0.0,16,4,2,0,1,0,43,0,130
AD00001,2024-02-13,2475,3536,39,1.1,0.74,8.16,28.85,0.0,23,6,3,0,2,0,62,0,176
AD00001,2024-02-14,1298,1855,18,0.97,0.99,9.61,17.82,0.0,10,3,1,0,1,0,28,0,92
AD00001,2024-02-15,2130,3043,33,1.08,0.87,9.48,28.85,0.0,19,5,3,0,2,0,52,0,152
AD00001,2024-02-16,2662,3804,54,1.42,0.49,6.98,26.56,77.49,32,9,5,1,3,0,86,0,190
AD00001,2024-02-17,1733,2476,31,1.25,0.73,9.16,22.67,0.0,18,5,3,0,2,0,49,0,123
AD00001,2024-02-18,2119,3028,33,1.09,0.77,8.37,25.33,0.0,19,5,3,0,2,0,52,0,151
AD00001,2024-02-19,2123,3034,27,0.89,1.08,9.65,29.29,0.0,16,4,2,0,1,0,43,0,151
AD00001,2024-02-20,2385,3408,49,1.44,0.47,6.78,23.12,0.0,29,8,4,0,3,0,78,0,170
AD00001,2024-02-21,2241,3202,31,0.97,0.85,8.19,26.21,0.0,18,5,3,0,2,0,49,0,160
AD00001,2024-02-22,2284,3264,45,1.38,0.55,7.56,24.69,0.0,27,8,4,0,3,0,72,0,163
AD00001,2024-02-23,1419,2028,20,0.99,0.92,9.06,18.38,0.0,12,3,1,0,1,0,32,0,101
AD00001,2024-02-24,1762,2518,30,1.19,0.77,9.16,23.07,0.0,18,5,3,0,2,0,48,0,125
AD00001,2024-02-25,1398,1998,20,1.0,0.91,9.13,18.25,0.0,12,3,1,0,1,0,32,0,99
AD00001,2024-02-26,2555,3650,50,1.37,0.54,7.4,27.0,91.95,30,9,5,1,3,0,80,0,182
AD00001,2024-02-27,1931,2760,25,0.91,1.04,9.46,26.12,0.0,15,4,2,0,1,0,40,0,138
AD00001,2024-02-28,2247,3211,29,0.9,0.97,8.79,28.22,0.0,17,5,3,0,2,0,46,0,160
AD00001,2024-02-29,1458,2083,20,0.96,1.06,10.16,21.16,0.0,12,3,1,0,1,0,32,0,104
AD00001,2024-03-01,1783,2548,35,1.37,0.58,7.98,20.34,0.0,21,6,3,0,2,0,56,0,127
AD00001,2024-03-02,2631,3759,52,1.38,0.54,7.4,27.82,51.83,31,9,5,1,3,0,83,0,187
AD00001,2024-03-03,2652,3789,45,1.19,0.64,7.64,28.96,62.62,27,8,4,1,3,0,72,0,189
AD00001,2024-03-04,1435,2050,19,0.93,1.03,9.58,19.63,0.0,11,3,1,0,1,0,30,0,102
AD00001,2024-03-05,3089,4413,46,1.04,0.76,7.89,34.8,74.66,27,8,4,1,3,0,73,0,220
AD00001,2024-03-06,2181,3116,27,0.87,0.79,6.88,21.45,0.0,16,4,2,0,1,0,43,0,155
AD00001,2024-03-07,2717,3882,38,0.98,0.87,8.52,33.09,63.39,22,6,3,1,2,0,60,0,194
AD00001,2024-03-08,2676,3823,44,1.15,0.77,8.86,33.88,84.08,26,7,4,1,3,0,70,0,191
AD00001,2024-03-09,2508,3584,37,1.03,0.89,9.15,32.79,0.0,22,6,3,0,2,0,59,0,179
AD00001,2024-03-10,2437,3482,41,1.18,0.63,7.38,25.68,96.32,24,7,4,1,2,0,65,0,174
AD00001,2024-03-11,1473,2105,21,1.0,0.95,9.5,20.0,0.0,12,3,1,0,1,0,33,0,105
AD00001,2024-03-12,2198,3140,43,1.37,0.68,9.37,29.43,75.68,25,7,4,1,3,0,68,0,157
AD00001,2024-03-13,2613,3733,40,1.07,0.79,8.51,31.75,0.0,24,7,4,0,2,0,64,0,186
AD00001,2024-03-14,2520,3600,42,1.17,0.69,8.11,29.18,0.0,25,7,4,0,2,0,67,0,180
AD00001,2024-03-15,2250,3215,35,1.09,0.8,8.7,27.97,97.2,21,6,3,1,2,0,56,0,160
AD00001,2024-03-16,1594,2278,27,1.19,0.79,9.33,21.26,0.0,16,4,2,0,1,0,43,0,113
AD00001,2024-03-17,2743,3919,40,1.02,0.79,8.06,31.6,78.78,24,7,4,1,2,0,64,0,195
AD00001,2024-03-18,2269,3242,43,1.33,0.7,9.32,30.2,100.36,25,7,4,1,3,0,68,0,162
AD00001,2024-03-19,2228,3183,40,1.26,0.58,7.28,23.17,0.0,24,7,4,0,2,0,64,0,159
AD00001,2024-03-20,2263,3233,45,1.39,0.68,9.44,30.52,59.41,27,8,4,1,3,0,72,0,161
AD00001,2024-03-21,2317,3311,45,1.36,0.53,7.24,23.96,0.0,27,8,4,0,3,0,72,0,165
AD00001,2024-03-22,1502,2146,19,0.89,0.95,8.38,17.99,0.0,11,3,1,0,1,0,30,0,107
AD00001,2024-03-23,1402,2003,25,1.25,0.79,9.85,19.72,0.0,15,4,2,0,1,0,40,0,100
AD00001,2024-03-24,2418,3455,38,1.1,0.67,7.35,25.41,90.28,22,6,3,1,2,0,60,0,172
AD00001,2024-03-25,1618,2312,24,1.04,0.94,9.71,22.46,0.0,14,4,2,0,1,0,38,0,115
AD00001,2024-03-26,1837,2625,32,1.22,0.57,6.92,18.16,67.02,19,5,3,1,2,0,51,0,131
AD00001,2024-03-27,1922,2746,33,1.2,0.75,9.01,24.73,0.0,19,5,3,0,2,0,52,0,137
AD00001,2024-03-28,1909,2728,31,1.14,0.89,10.08,27.51,0.0,18,5,3,0,2,0,49,0,136
AD00001,2024-03-29,1804,2578,30,1.16,0.69,8.04,20.74,0.0,18,5,3,0,2,0,48,0,128
AD00001,2024-03-30,2863,4091,38,0.93,0.82,7.58,30.99,79.6,22,6,3,1,2,0,60,0,204
AD00001,2024-03-31,2515,3593,43,1.2,0.65,7.77,27.91,0.0,25,7,4,0,3,0,68,0,179
AD00002,2024-01-01,2358,3369,36,1.07,0.77,8.19,27.6,0.0,21,6,3,0,2,0,57,0,606
AD00002,2024-01-02,1831,2616,28,1.07,0.74,7.88,20.61,64.77,16,4,2,1,1,0,44,0,470
AD00002,2024-01-03,1960,2801,35,1.25,0.58,7.22,20.23,0.0,21,6,3,0,2,0,56,0,504
AD00002,2024-01-04,2195,3137,44,1.4,0.5,7.02,22.03,97.38,26,7,4,1,3,0,70,0,564
AD00002,2024-01-05,1640,2343,27,1.15,0.67,7.67,17.97,0.0,16,4,2,0,1,0,43,0,421
AD00002,2024-01-06,1764,2521,25,0.99,0.76,7.58,19.11,0.0,15,4,2,0,1,0,40,0,453
AD00002,2024-01-07,3037,4339,64,1.47,0.52,7.73,33.52,80.9,38,11,6,1,4,0,102,0,781
AD00002,2024-01-08,2335,3336,46,1.38,0.59,8.2,27.35,65.85,27,8,4,1,3,0,73,0,600
AD00002,2024-01-09,1829,2613,39,1.49,0.6,8.99,23.49,73.22,23,6,3,1,2,0,62,0,470
AD00002,2024-01-10,2723,3891,52,1.34,0.61,8.14,31.66,60.17,31,9,5,1,3,0,83,0,700
AD00002,2024-01-11,1824,2606,35,1.34,0.73,9.8,25.53,0.0,21,6,3,0,2,0,56,0,469
AD00002,2024-01-12,2305,3294,44,1.34,0.72,9.63,31.73,79.01,26,7,4,1,3,0,70,0,592
AD00002,2024-01-13,2612,3732,53,1.42,0.6,8.56,31.93,82.27,31,9,5,1,3,0,84,0,671
AD00002,2024-01-14,1894,2706,34,1.26,0.74,9.29,25.13,0.0,20,6,3,0,2,0,54,0,487
AD00002,2024-01-15,2639,3770,40,1.06,0.8,8.47,31.94,75.4,24,7,4,1,2,0,64,0,678
AD00002,2024-01-16,2353,3362,33,0.98,0.77,7.57,25.46,82.94,19,5,3,1,2,0,52,0,605
AD00002,2024-01-17,2646,3780,46,1.22,0.66,7.97,30.14,72.12,27,8,4,1,3,0,73,0,680
AD00002,2024-01-18,2194,3135,48,1.53,0.43,6.59,20.66,67.31,28,8,4,1,3,0,76,0,564
AD00002,2024-01-19,2534,3620,56,1.55,0.52,8.05,29.14,79.67,33,9,5,1,3,0,89,0,651
AD00002,2024-01-20,2241,3202,37,1.16,0.86,9.95,31.85,90.3,22,6,3,1,2,0,59,0,576
AD00002,2024-01-21,3404,4863,69,1.42,0.46,6.54,31.81,67.16,41,12,7,1,4,0,110,0,875
AD00002,2024-01-22,2193,3134,31,0.99,0.7,6.89,21.59,0.0,18,5,3,0,2,0,49,0,564
AD00002,2024-01-23,2617,3739,50,1.34,0.62,8.32,31.12,78.49,30,9,5,1,3,0,80,0,673
AD00002,2024-01-24,1663,2377,37,1.56,0.59,9.15,21.74,81.91,22,6,3,1,2,0,59,0,427
AD00002,2024-01-25,1851,2645,35,1.32,0.58,7.68,20.31,99.71,21,6,3,1,2,0,56,0,476
AD00002,2024-01-26,2631,3759,43,1.14,0.59,6.8,25.57,73.91,25,7,4,1,3,0,68,0,676
AD00002,2024-01-27,1425,2037,24,1.18,0.81,9.57,19.49,0.0,14,4,2,0,1,0,38,0,366
AD00002,2024-01-28,1831,2616,27,1.03,0.74,7.65,20.01,0.0,16,4,2,0,1,0,43,0,470
AD00002,2024-01-29,2660,3801,54,1.42,0.6,8.46,32.16,91.7,32,9,5,1,3,0,86,0,684
AD00002,2024-01-30,1736,2481,30,1.21,0.82,9.86,24.47,102.29,18,5,3,1,2,0,48,0,446
AD00002,2024-01-31,2161,3088,46,1.49,0.59,8.81,27.21,63.94,27,8,4,1,3,0,73,0,555
AD00002,2024-02-01,1758,2512,37,1.47,0.55,8.13,20.43,92.14,22,6,3,1,2,0,59,0,452
AD00002,2024-02-02,2438,3483,42,1.21,0.75,9.05,31.53,103.0,25,7,4,1,2,0,67,0,626
AD00002,2024-02-03,3097,4425,64,1.45,0.48,6.94,30.71,87.28,38,11,6,1,4,0,102,0,796
AD00002,2024-02-04,2854,4078,63,1.54,0.51,7.84,31.98,119.57,37,11,6,2,4,0,100,0,734
AD00002,2024-02-05,1457,2082,26,1.25,0.73,9.15,19.04,0.0,15,4,2,0,1,0,41,0,374
AD00002,2024-02-06,2300,3287,33,1.0,0.78,7.81,25.66,75.57,19,5,3,1,2,0,52,0,591
AD00002,2024-02-07,1957,2796,35,1.25,0.54,6.76,18.89,0.0,21,6,3,0,2,0,56,0,503
AD00002,2024-02-08,2326,3323,44,1.32,0.64,8.41,27.95,0.0,26,7,4,0,3,0,70,0,598
AD00002,2024-02-09,2688,3841,37,0.96,0.76,7.34,28.18,0.0,22,6,3,0,2,0,59,0,691
AD00002,2024-02-10,2135,3050,29,0.95,0.82,7.77,23.7,0.0,17,5,3,0,2,0,46,0,549
AD00002,2024-02-11,3111,4445,63,1.42,0.51,7.21,32.03,132.1,37,11,6,2,4,0,100,0,800
AD00002,2024-02-12,2352,3361,35,1.04,0.78,8.09,27.2,81.95,21,6,3,1,2,0,56,0,604
AD00002,2024-02-13,2096,2995,38,1.27,0.54,6.82,20.44,63.11,22,6,3,1,2,0,60,0,539
AD00002,2024-02-14,3008,4298,62,1.44,0.51,7.4,31.8,67.66,37,11,6,1,4,0,99,0,773
AD00002,2024-02-15,2270,3243,50,1.54,0.52,7.97,25.85,84.75,30,9,5,1,3,0,80,0,583
AD00002,2024-02-16,2034,2907,36,1.24,0.8,9.92,28.85,0.0,21,6,3,0,2,0,57,0,523
AD00002,2024-02-17,1759,2514,35,1.39,0.7,9.76,24.54,0.0,21,6,3,0,2,0,56,0,452
AD00002,2024-02-18,1308,1869,19,1.02,0.93,9.45,17.67,0.0,11,3,1,0,1,0,30,0,336
AD00002,2024-02-19,2445,3494,51,1.46,0.57,8.31,29.05,108.13,30,9,5,1,3,0,81,0,628
AD00002,2024-02-20,1621,2316,33,1.42,0.63,8.96,20.76,0.0,19,5,3,0,2,0,52,0,416
AD00002,2024-02-21,2390,3415,47,1.38,0.57,7.89,26.94,85.74,28,8,4,1,3,0,75,0,614
AD00002,2024-02-22,2727,3896,40,1.03,0.72,7.35,28.64,74.14,24,7,4,1,2,0,64,0,701
AD00002,2024-02-23,1642,2346,30,1.28,0.69,8.82,20.69,0.0,18,5,3,0,2,0,48,0,422
AD00002,2024-02-24,2425,3465,44,1.27,0.71,9.03,31.28,63.29,26,7,4,1,3,0,70,0,623
AD00002,2024-02-25,2785,3979,47,1.18,0.63,7.42,29.53,112.36,28,8,4,1,3,0,75,0,716
AD00002,2024-02-26,1899,2714,38,1.4,0.69,9.69,26.31,78.82,22,6,3,1,2,0,60,0,488
AD00002,2024-02-27,1526,2180,24,1.1,0.83,9.15,19.94,0.0,14,4,2,0,1,0,38,0,392
